image_path,prediction,confidence,timestamp
saved_images\d2ac7e06d4ec4ad6b5c4100476ab0b88.jpg,paper,99.13,2025-10-28 00:03:18
saved_images\de6000bbb6054555a9d6362f225b46bd.jpg,cardboard,99.83000183105467,2025-10-28 00:04:40
saved_images\e78a29b9f4d5405f87f4171a43332235.jpg,metal,63.86000061035156,2025-10-28 00:05:16
saved_images\7a0307540e5a43ef8323a5d1c1b2bac5.jpg,metal,97.58000183105467,2025-10-28 00:39:07
saved_images\6f2fa2e1f85b4dfdac1e43871d1fb6c6.jpg,metal,76.63999938964844,2025-10-28 00:39:33
saved_images\a2e35d5131974b5088d27090dd0f334f.jpg,cardboard,97.0,2025-10-28 19:43:54
saved_images\5fa7f239d3a44bd1b11f6b46a87110da.jpg,trash,29.299999237060547,2025-10-28 19:48:14
saved_images\4ac0d8235b954f05a11a3fa86f23f19c.jpg,trash,29.299999237060547,2025-10-28 19:48:57
saved_images\417b75e284d74ab28ee5d307cfda8b3d.jpg,trash,29.299999237060547,2025-10-28 19:49:30
saved_images\c9775435fcfc4f9b8be70150de994a69.jpg,trash,29.299999237060547,2025-10-28 19:49:46
saved_images\1b408109f13f47008b69c7388db51f52.jpg,trash,29.299999237060547,2025-10-28 19:50:01
saved_images\121e7cb21a8b43eb811d01770c015ba5.jpg,trash,29.299999237060547,2025-10-28 19:50:14
saved_images\1b85bd0cf4fb4869b5f8a6ed0b0d9fde.jpg,trash,29.299999237060547,2025-10-28 19:50:32
saved_images\e719ab1c1b0a401eaa7aab01bb0e6955.jpg,cardboard,58.45000076293945,2025-10-28 20:00:33
saved_images\a5ff0010bc264565b37b8705f5a8d51e.jpg,cardboard,58.45000076293945,2025-10-28 20:00:55
